TaxonName,Author
Acacia coriacea,DC.
Acacia courtii,Tindale & Hersc.
Acacia covenyi,Tindale
Acacia cowaniana,Maslin
Acacia cowleana,Tate
Acacia craspedocarpa,F.Muell.
Acacia crassa,Pedley
Acacia crassicarpa,A.Cunn. ex Benth.
Acacia crenulata,R.S.Cowan & Maslin
Acacia cretacea,Maslin & Whibley
Acacia cretata,Pedley
Acacia crombiei,C.T.White
Acacia cultriformis,A.Cunn. ex G.Don
Acacia curvinervia,Maiden
Acacia cuspidifolia,Maslin
Acacia cuthbertsonii,Luehm.
Acacia cyclops,A.Cunn. ex G.Don
Acacia cyperophylla,F.Muell. ex Benth.
Acacia dallachiana,F.Muell.
Acacia dangarensis,Tindale & Kodela
Acacia daphnifolia,Meisn.
Acacia dawsonii,R.T.Baker
Acacia dealbata,Link
Acacia deanei,"(R.T.Baker) R.T.Baker ex Welch, Coombs & McGlymn"
Acacia debilis,Tindale
Acacia decora,Rchb.
Acacia decurrens,(J.C.Wendl.) Willd.
Acacia delibrata,A.Cunn. ex Benth.
Acacia demissa,R.S.Cowan & Maslin
Acacia dempsteri,F.Muell.
Acacia dentifera,Benth.
Acacia desertorum,Maiden
Acacia desmondii,Maslin
Acacia didyma,A.R.Chapm. & Maslin
Acacia dietrichiana,F.Muell.
Acacia difficilis,Maiden
Acacia difformis,R.T.Baker
Acacia dimidiata,Benth.
Acacia disparrima,M.W.McDonald & Maslin
Acacia distans,Maslin
Acacia dodonaeifolia,(Pers.) Balb.
Acacia dolichophylla,Maslin
Acacia donaldsonii,R.S.Cowan & Maslin
Acacia doratoxylon,A.Cunn.
Acacia drepanophylla,Maslin
Acacia dunnii,(Maiden) Turrill
Acacia duriuscula,W.Fitzg.
Acacia echinuliflora,G.J.Leach
Acacia effusifolia,Maslin & Buscumb
Acacia elachantha,M.W.McDonald & Maslin
Acacia elata,A.Cunn. ex Benth.
Acacia elongata,Sieber ex DC.
Acacia enervia,Maiden
Acacia ensifolia,Pedley
Acacia ephedroides,Benth.
Acacia eremaea,C.R.P.Andrews
Acacia eriantha,Desv.
Acacia eriopoda,Maiden
Acacia estrophiolata,F.Muell.
Acacia excelsa,Benth.
Acacia exigua,I.M.Turner
Acacia exudans,Lindl.
Acacia falcata,Willd.
Acacia falciformis,DC.
Acacia fasciculifera,F.Muell. ex Benth.
Acacia fauntleroyi,(Maiden) Maiden
Acacia filicifolia,Cheel & Welch
Acacia filifolia,Benth.
Acacia fimbriata,A.Cunn. ex G.Don
Acacia flavescens,A.Cunn. ex Benth.
Acacia fleckeri,Pedley
Acacia flocktoniae,Maiden
Acacia floribunda,(Vent.) Willd.
Acacia floydii,Tindale
Acacia frigescens,J.H.Willis
Acacia fulva,Tindale
Acacia fuscaneura,Maslin & J.E.Reid
Acacia galeata,Maslin
Acacia gardneri,Maiden
Acacia georgensis,Tindale
Acacia georginae,F.M.Bailey
Acacia gibbosa,R.S.Cowan & Maslin
Acacia gillii,(Maiden) Maiden & Blakely
Acacia glaucocaesia,Domin
Acacia glaucocarpa,Maiden
Acacia gnidium,Benth.
Acacia gonocarpa,F.Muell.
Acacia gonoclada,F.Muell.
Acacia grandifolia,Pedley
Acacia grasbyi,Maiden
Acacia hakeoides,A.Cunn. ex Benth.
Acacia hamersleyensis,Maslin
Acacia hammondii,Maiden
Acacia harpophylla,F.Muell. ex Benth.
Acacia havilandiorum,Maiden
Acacia hemignosta,F.Muell.
Acacia hemsleyi,Maiden
Acacia heteroclita,Meisn.
Acacia heterophylla,(Lam.) Willd.
Acacia holosericea,A.Cunn. ex G.Don.
Acacia holotricha,Pedley
Acacia hopperiana,Maslin
Acacia howittii,F.Muell.
Acacia hylonoma,Pedley
Acacia implexa,Benth.
Acacia inaequilatera,Domin
Acacia inceana,Domin
Acacia incurvaneura,Maslin & J.E.Reid
Acacia ingramii,Tindale
Acacia inophloia,Maiden
Acacia intorta,Maslin
Acacia irrorata,Siebold ex Spreng.
Acacia islana,Pedley
Acacia ixodes,Pedley
Acacia jamesiana,Maslin
Acacia jasperensis,Maconochie
Acacia jennerae,Maiden
Acacia jensenii,Maiden
Acacia jibberdingensis,Maiden
Acacia jucunda,Maiden
Acacia julifera,Benth.
Acacia kauaiensis,Hillebr.
Acacia kelleri,F.Muell.
Acacia kempeana,F.Muell.
Acacia kenneallyi,R.S.Cowan & Maslin
Acacia kettlewelliae,Maiden
Acacia koa,A.Gray
Acacia koaia,Hillebr.
Acacia lacertensis,Pedley
Acacia lamprocarpa,O.Schwarz
Acacia lasiocalyx,C.R.P.Andrews
Acacia latescens,Benth.
Acacia latifolia,Benth.
Acacia latior,(R.S.Cowan & Maslin) Maslin & Buscumb
Acacia latzii,Maslin
Acacia leeuweniana,Maslin
Acacia legnota,Pedley
Acacia leiocalyx,(Domin) Pedley
Acacia leiophylla,Benth.
Acacia leprosa,Sieber ex DC.
Acacia leptocarpa,A.Cunn. ex Benth.
Acacia leptoloba,Pedley
Acacia leptopetala,Benth.
Acacia leptostachya,Benth.
Acacia leucoclada,Tindale
Acacia ligulata,A.Cunn. ex Benth.
Acacia ligustrina,Meisn.
Acacia linearifolia,A.Cunn. ex Maiden & Blakely
Acacia linifolia,(Vent.) Willd.
Acacia loderi,Maiden
Acacia longifolia,(Andrews) Willd.
Acacia longiphyllodinea,Maiden
Acacia longispicata,Benth.
Acacia longispinea,Morrison
Acacia longissima,H.L.Wendl.
Acacia loroloba,Tindale
Acacia lunata,G.Lodd.
Acacia lysiphloia,F.Muell.
Acacia mabellae,Maiden
Acacia macdonnellensis,Maconochie
Acacia maconochieana,Pedley
Acacia macradenia,Benth.
Acacia maidenii,F.Muell.
Acacia mangium,Willd.
Acacia maranoensis,Pedley
Acacia marramamba,Maslin
Acacia masliniana,R.S.Cowan
Acacia mathuataensis,A.C.Sm.
Acacia matthewii,Tindale & S.J.Davies
Acacia mearnsii,De Wild.
Acacia meiosperma,(Pedley) Pedley
Acacia melanoxylon,R.Br.
Acacia melvillei,Pedley
Acacia merinthophora,E.Pritz.
Acacia microbotrya,Benth.
Acacia microcybe,Pedley
Acacia microsperma,Pedley
Acacia midgleyi,M.W.McDonald & Maslin
Acacia mimula,Pedley
Acacia minniritchi,I.M.Turner
Acacia minyura,Randell
Acacia mollifolia,Maiden & Blakely
Acacia montana,Benth.
Acacia monticola,J.M.Black
Acacia mountfordiae,Specht
Acacia mucronata,Willd. ex H.L.Wendl.
Acacia muelleriana,Maiden & R.T.Baker
Acacia mulganeura,Maslin & J.E.Reid
Acacia multisiliqua,(Benth.) Maconochie
Acacia multispicata,Benth.
Acacia multistipulosa,Tindale & Bedward
Acacia murrayana,F.Muell. ex Benth.
Acacia myrtifolia,(Sm.) Willd.
Acacia nanodealbata,J.H.Willis
Acacia neriifolia,A.Cunn. ex Benth.
Acacia neurocarpa,A.Cunn. ex Hook.
Acacia neurophylla,W.Fitzg.
Acacia nyssophylla,F.Muell.
Acacia obliquinervia,Tindale
Acacia obtusifolia,A.Cunn.
Acacia oldfieldii,F.Muell.
Acacia olgana,Maconochie
Acacia oligoneura,F.Muell.
Acacia oliveri,Vatke
Acacia olsenii,Tindale
Acacia omalophylla,A.Cunn. ex Benth.
Acacia ommatosperma,(Pedley) Pedley
Acacia oncinocarpa,Benth.
Acacia oraria,F.Muell.
Acacia orites,Pedley
Acacia orthocarpa,F.Muell.
Acacia oshanesii,F.Muell. & Maiden
Acacia oswaldii,F.Muell.
Acacia ouyrarema,(Aubl.) DC.
Acacia oxycedrus,Sieber ex DC.
Acacia pachyacra,Maiden
Acacia pachycarpa,F.Muell. ex Benth.
Acacia pachyceras,O.Schwartz
Acacia palustris,Luehm.
Acacia papyrocarpa,Benth.
Acacia paradoxa,DC.
Acacia paraneura,Randell
Acacia parramattensis,Tindale
Acacia parvipinnula,Tindale
Acacia pataczekii,D.I.Morris
Acacia pedleyi,Tindale & Kodela
Acacia pellita,O.Schwarz
Acacia pendula,A.Cunn. ex G.Don
Acacia penninervis,Sieber ex DC.
Acacia pennivenia,Balf.f.
Acacia pentadenia,Lindl.
Acacia petraea,Pedley
Acacia peuce,F.Muell.
Acacia phlebophylla,F.Muell.
Acacia pickardii,Tindale
Acacia platycarpa,F.Muell.
Acacia plectocarpa,A.Cunn. ex Benth.
Acacia podalyriifolia,A.Cunn. ex G.Don
Acacia polifolia,Pedley
Acacia polyadenia,(Pedley) Pedley
Acacia polybotrya,Benth.
Acacia polystachya,A.Cunn. ex Benth.
Acacia praelongata,F.Muell.
Acacia prainii,Maiden
Acacia pravissima,F.Muell.
Acacia proiantha,Pedley
Acacia prominens,A.Cunn. ex G.Don
Acacia pruinocarpa,Tindale
Acacia pteraneura,Maslin & J.E.Reid
Acacia pubescens,(Vent.) R.Br.
Acacia pubicosta,C.T.White
Acacia pubifolia,Pedley
Acacia pubirhachis,Pedley
Acacia pulchella,R.Br.
Acacia pustula,Maiden
Acacia pycnantha,Benth.
Acacia pycnostachya,F.Muell. ex Benth.
Acacia pyrifolia,DC.
Acacia quadrimarginea,F.Muell.
Acacia quiterajoensis,Timberlake & Lötter
Acacia racospermoides,Pedley
Acacia ramulosa,W.Fitzg.
Acacia redolens,Maslin
Acacia resinimarginea,W.Fitzg.
Acacia resinistipulea,W.Fitzg.
Acacia retinervis,Benth.
Acacia retinodes,Schltdl.
Acacia rhodophloia,Maslin
Acacia rhodoxylon,Maiden
Acacia riceana,Hemsl.
Acacia richii,A.Gray
Acacia rigens,A.Cunn. ex G.Don
Acacia rivalis,J.M.Black
Acacia rostellifera,Benth.
Acacia rostriformis,Maslin & D.J.Murphy
Acacia rothii,F.M.Bailey
Acacia roycei,Maslin
Acacia rubida,A.Cunn.
Acacia saliciformis,Tindale
Acacia salicina,Lindl.
Acacia saligna,(Labill.) H.L.Wendl.
Acacia saxatilis,S.Moore
Acacia schinoides,Benth.
Acacia scirpifolia,Meisn.
Acacia sclerosperma,F.Muell.
Acacia scopulorum,Pedley
Acacia seclusa,M.W.McDonald
Acacia semilunata,Maiden & Blakely
Acacia semirigida,Maiden
Acacia sericata,A.Cunn. ex Benth.
Acacia sericoflora,Pedley
Acacia shirleyi,Maiden
Acacia sibilans,Maslin
Acacia sibina,Maslin
Acacia sibirica,S.Moore
Acacia signata,F.Muell.
Acacia silvestris,Tindale
Acacia simplex,(Sparrm.) Pedley
Acacia simsii,A.Cunn. ex Benth.
Acacia solenota,Pedley
Acacia spania,Pedley
Acacia sparsiflora,Maiden
Acacia speckii,R.S.Cowan & Maslin
Acacia spectabilis,A.Cunn. ex Benth.
Acacia spectrum,Lewington & Maslin
Acacia spirorbis,Labill.
Acacia splendens,Maslin & C.P.Elliott
Acacia steedmanii,Maiden & Blakely
Acacia stenophylla,A.Cunn. ex Benth.
Acacia stereophylla,Meisn.
Acacia stipuligera,F.Muell.
Acacia storyi,Tindale
Acacia striatifolia,Pedley
Acacia stricta,(Andrews) Willd.
Acacia strongylophylla,F.Muell.
Acacia subporosa,F.Muell.
Acacia subtessarogona,Tindale & Maslin
Acacia subtilinervis,F.Muell.
Acacia subulata,Bonpl. ex Vent.
Acacia symonii,Whibley
Acacia synchronicia,Maslin
Acacia synoria,Maslin
Acacia tenuinervis,Pedley
Acacia tenuispica,Maslin
Acacia tenuissima,F.Muell.
Acacia tephrina,Pedley
Acacia terminalis,(Salisb.) J.F.Macbr.
Acacia tessellata,Tindale & Kodela
Acacia tetragonophylla,F.Muell.
Acacia thomsonii,Maslin & M.W.McDonald
Acacia tingoorensis,Pedley
Acacia torulosa,Benth.
Acacia trachycarpa,E.Pritz.
Acacia trachyphloia,Tindale
Acacia trinalis,R.S.Cowan & Maslin
Acacia trinervata,Sieber ex DC.
Acacia trineura,F.Muell.
Acacia triptera,Benth.
Acacia triptycha,F.Muell. ex Benth.
Acacia tropica,(Maiden & Blakely) Tindale
Acacia tumida,F.Muell. ex Benth.
Acacia tysonii,Luehm.
Acacia uncifera,Benth.
Acacia uncifolia,(J.M.Black) O'Leary
Acacia undoolyana,G.J.Leach
Acacia undulifolia,A.Cunn. ex G.Lodd
Acacia unguicula,R.S.Cowan & Maslin
Acacia verniciflua,A.Cunn.
Acacia veronica,Maslin
Acacia verricula,R.S.Cowan & Maslin
Acacia verticillata,(L' Hér.) Willd.
Acacia vestita,Ker Gawl.
Acacia victoriae,Benth.
Acacia viscidula,Benth.
Acacia wanyu,Tindale
Acacia wardellii,Tindale
Acacia wattsiana,F.Muell. ex Benth.
Acacia websteri,Maiden
Acacia wetarensis,Pedley
Acacia wilcoxii,Maslin
Acacia willingii,Lewington & Maslin
Acacia xanthina,Benth.
Acacia xiphophylla,E.Pritz.
Acacia yorkrakinensis,C.A.Gardner
Acaciella angustissima,(Mill.) Britton & Rose
Acaciella chamelensis,(L.Rico) L.Rico
Acaciella glauca,(L.) L. Rico
Acaciella goldmanii,Britton & Rose
Acaciella rosei,(Standl.) Britton & Rose
Acaciella villosa,(Sw.) Britton & Rose
Acalypha acrogyna,Pax
Acalypha amplexicaulis,A.C.Sm.
Acalypha angatensis,Blanco
Acalypha apodanthes,Standl. & L.O.Williams
Acalypha balansae,Guillaumin
Acalypha benensis,Britton
Acalypha boiviniana,Baill.
Acalypha cardiophylla,Merr.
Acalypha caturus,Blume
Acalypha chirindica,S.Moore
Acalypha chocoana,Cardiel
Acalypha cuneata,Poepp.
Acalypha diversifolia,Jacq.
Acalypha emirnensis,Baill.
Acalypha fasciculata,Müll.Arg.
Acalypha floresensis,Sagun & G.A.Levin
Acalypha forsteriana,Müll.Arg.
Acalypha fragilis,Pax & K.Hoffm.
Acalypha fruticosa,Forssk.
Acalypha glabrata,Thunb.
Acalypha grandibracteata,Merr.
Acalypha grandis,Benth.
Acalypha grisebachiana,(Kuntze) Pax & K.Hoffm.
Acalypha hellwigii,Warb.
Acalypha inaequilatera,Cardiel
Acalypha insulana,Müll.Arg.
Acalypha juruana,Ule
Acalypha lepinei,Müll.Arg.
Acalypha longispica,Warb.
Acalypha lyonsii,P.I.Forst.
Acalypha macrostachya,Jacq.
Acalypha muelleriana,Urb.
Acalypha multiflora,(Standl.) Radcl.-Sm.
Acalypha neptunica,Müll.Arg.
Acalypha novoguineensis,Warb.
Acalypha ornata,Hochst. ex A.Rich.
Acalypha padifolia,Kunth
Acalypha pancheriana,Baill.
Acalypha peruviana,Müll.Arg.
Acalypha platyphylla,Müll.Arg.
Acalypha pubiflora,(Klotzsch) Baill.
Acalypha pulogensis,Sagun & G.A.Levin
Acalypha radula,Baker
Acalypha raivavensis,F.Br.
Acalypha rapensis,F.Br.
Acalypha repanda,Müll.Arg.
Acalypha rivularis,Seem.
Acalypha schiedeana,Schltdl.
Acalypha skutchii,I.M.Johnst.
Acalypha sonderiana,Müll.Arg.
Acalypha stachyura,Pax
Acalypha stellata,Cardiel
Acalypha stenoloba,Müll.Arg.
Acalypha stricta,Poepp.
Acalypha subintegra,Airy Shaw
Acalypha suirenbiensis,Yamam.
Acalypha tenuifolia,Müll.Arg.
Acalypha villosa,Jacq.
Acalypha wilkesiana,Müll.Arg.
Acanthella sprucei,Benth. & Hook. f.
Acanthocladus colombianus,Aymard & J.F.B.Pastore
Acanthocladus dichromus,(Steud.) J.F.B.Pastore
Acanthocladus dukei,(Barringer) J.F.B.Pastore & D.B.O.S.Cardoso
Acanthocladus guayaquilensis,B.Eriksen & B.Ståhl
Acanthocladus pulcherrimus,(Kuhlm.) J.F.B.Pastore & D.Cardoso
Acanthocladus santosii,(Wurdack) J.F.B.Pastore & D.Cardoso
Acanthocladus scleroxylon,(Ducke) B.Eriksen & B.Ståhl
Acanthophoenix crinita,(Bory) H.Wendl.
Acanthophoenix rousselii,N.Ludw.
Acanthophoenix rubra,(Bory) H.Wendl.
Acanthosyris annonagustata,C.U.Ulloa & M.Jørg.
Acanthosyris asipapote,M.Nee
Acanthosyris falcata,Griseb.
Acanthosyris glabrata,(Stapf) Stauffer ex Govaerts
Acanthosyris paulo-alvinii,G.M.Barroso
Acanthosyris spinescens,Griseb.
Acca lanuginosa,(Ruiz & Pav. ex G.Don) McVaugh
Acca macrostema,(Ruiz & Pav. ex G.Don) McVaugh
Acca sellowiana,(O.Berg) Burret
Acer acuminatum,Wall. ex D.Don
Acer acutum,W.P.Fang
Acer albopurpurascens,Hayata
Acer amamiense,T.Yamaz.
Acer amoenum,Carrière
Acer amplum,Rehder
Acer anhweiense,W.P.Fang & M.Y.Fang
Acer argutum,Maxim. ex Miq.
Acer barbinerve,Maxim. ex Miq.
Acer binzayedii,Vargas-Rodriguez
Acer buergerianum,Miq.
Acer caesium,Wall. ex Brandis
Acer calcaratum,Gagnep.
Acer campbellii,Hook.f. & Thomson ex Hiern
Acer campestre,L.
Acer capillipes,Maxim. ex Miq.
Acer cappadocicum,Gled.
Acer carpinifolium,Siebold & Zucc.
Acer caudatum,Wall.
Acer chiangdaoense,Santisuk
Acer chienii,Hu & W.C.Cheng
Acer chingii,Hu
Acer chunii,W.P.Fang
Acer circinatum,Pursh
Acer cissifolium,(Siebold & Zucc.) K.Koch
Acer confertifolium,Merr. & F.P.Metcalf
Acer cordatum,Pax
Acer coriaceifolium,H.Lév.
Acer crassum,Hu & W.C.Cheng
Acer crataegifolium,Siebold & Zucc.
Acer davidii,Franch.
Acer diabolicum,Blume ex K.Koch
Acer distylum,Siebold & Zucc.
Acer divergens,K.Koch ex Paxton
Acer duplicatoserratum,Hayata
Acer elegantulum,W.P.Fang & P.L.Chiu
Acer erianthum,Schwer.
Acer erythranthum,Gagnep.
Acer fabri,Hance
Acer fenzelianum,Hand.-Mazz.
Acer flabellatum,Rehder
Acer floridanum,(Chapm.) Pax
Acer forrestii,Diels
Acer fulvescens,Rehder
Acer glabrum,Torr.
Acer gracilifolium,W.P.Fang. & C.C.Fu
Acer granatense,Boiss.
Acer grandidentatum,Nutt.
Acer griseum,(Franch.) Pax
Acer heldreichii,Orph. ex Boiss.
Acer henryi,Pax
Acer heptaphlebium,Gagnep.
Acer hilaense,Hu & W.C.Cheng
Acer hookeri,Miq.
Acer hyrcanum,Fisch. & C.A.Mey.
Acer insulare,Makino
Acer iranicum,Mohtash. & Rastegar
Acer japonicum,Thunb.
Acer kawakamii,Koidz.
Acer komarovii,Pojark.
Acer kungshanense,W.P.Fang & C.Y.Chang
Acer kuomeii,W.P.Fang & M.Y.Fang
Acer kwangnanense,Hu & W.C.Cheng
